                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4889,                 2.7342,                 1.1074,                0.00573,                0.83068,                0.01406,                0.00746,                 1.4099,                 3.7016,                 1.0665,             0.00054142,             0.00054142,             0.00054142
                      2,                 1.2287,                 1.2977,                 1.0221,                0.99357,                0.20876,                0.87442,                0.62235,                  1.105,                 2.7649,                 1.0514,              0.0010609,              0.0010609,              0.0010609
                      3,                 1.1664,                 1.1161,                  1.026,                0.94389,                0.96425,                0.98154,                0.68557,                 1.0813,                 1.1155,                 1.0534,              0.0015437,              0.0015437,              0.0015437
                      4,                 1.0993,                0.97469,                 0.9941,                0.98062,                0.96238,                 0.9892,                0.68642,                 1.1085,                0.95958,                 1.0836,               0.001502,               0.001502,               0.001502
                      5,                 1.0932,                0.89744,                 1.0089,                0.98597,                0.98261,                0.99137,                0.71363,                 1.0232,                0.75902,                 1.0149,               0.001502,               0.001502,               0.001502
                      6,                 1.0653,                0.77991,                0.98824,                0.96833,                0.97865,                0.99172,                0.71504,                 1.0278,                0.81328,                  1.026,               0.001447,               0.001447,               0.001447
                      7,                 1.0969,                0.74044,                 1.0074,                0.98605,                0.95981,                0.99069,                0.70351,                 1.0792,                0.67642,                 1.0498,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.0671,                0.70741,                0.99029,                0.98312,                0.97115,                0.99052,                0.70695,                 1.0636,                0.61726,                 1.0353,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.0262,                0.66722,                0.98715,                0.97857,                0.97584,                 0.9914,                0.72119,                 1.0084,                0.57879,                 1.0124,              0.0012819,              0.0012819,              0.0012819
                     10,                  1.029,                0.64978,                0.98673,                0.97103,                0.98129,                0.99124,                0.71374,                 1.0396,                0.60939,                 1.0162,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.0281,                0.63386,                0.98431,                0.97964,                0.98074,                 0.9904,                0.74595,                0.95465,                0.53902,                0.98279,              0.0011719,              0.0011719,              0.0011719
                     12,                0.97241,                0.58584,                0.96916,                 0.9676,                0.98223,                0.98728,                0.74382,                0.95505,                0.54399,                0.98147,              0.0011169,              0.0011169,              0.0011169
                     13,                0.98333,                0.57017,                 0.9648,                0.97975,                0.98051,                 0.9921,                0.74611,                0.97674,                0.52861,                0.98694,              0.0010619,              0.0010619,              0.0010619
                     14,                0.99215,                0.57187,                0.96632,                0.96884,                0.97391,                0.99016,                0.74829,                0.94841,                 0.5238,                0.97714,              0.0010069,              0.0010069,              0.0010069
                     15,                0.99087,                0.55371,                 0.9755,                0.98588,                 0.9733,                0.99047,                0.73737,                0.98388,                 0.4948,                0.98824,             0.00095186,             0.00095186,             0.00095186
                     16,                0.96914,                0.55269,                0.94755,                0.98126,                0.98629,                0.98974,                0.73992,                0.97942,                0.49775,                 0.9869,             0.00089685,             0.00089685,             0.00089685
                     17,                0.95327,                0.52371,                 0.9462,                0.97927,                0.98172,                0.99077,                0.76108,                0.93964,                0.46955,                0.96979,             0.00084184,             0.00084184,             0.00084184
                     18,                0.95581,                0.51872,                0.95427,                0.97581,                 0.9891,                0.99084,                0.75838,                0.95534,                0.46287,                0.97917,             0.00078682,             0.00078682,             0.00078682
                     19,                0.92813,                0.49689,                 0.9431,                0.98567,                0.98097,                0.99126,                0.75663,                0.93523,                0.46956,                0.97244,             0.00073181,             0.00073181,             0.00073181
                     20,                0.93048,                0.48796,                0.95114,                0.97788,                0.98762,                0.99128,                0.76164,                0.94096,                0.46836,                 0.9745,              0.0006768,              0.0006768,              0.0006768
                     21,                0.92459,                 0.4969,                0.97211,                0.98034,                 0.9779,                0.99077,                0.74427,                0.95221,                0.46945,                0.97923,             0.00062179,             0.00062179,             0.00062179
                     22,                0.90967,                0.47515,                0.96706,                0.98443,                 0.9877,                0.99177,                0.74197,                0.94995,                0.44004,                 0.9748,             0.00056678,             0.00056678,             0.00056678
                     23,                0.89563,                0.45903,                  0.964,                0.98102,                0.98784,                0.99245,                0.74909,                0.95683,                0.44535,                0.97715,             0.00051177,             0.00051177,             0.00051177
                     24,                 0.8977,                0.45688,                0.96669,                0.98568,                0.98143,                0.99185,                0.76345,                0.94485,                0.43721,                0.97903,             0.00045676,             0.00045676,             0.00045676
                     25,                0.90526,                0.46019,                0.97518,                0.97285,                0.99173,                0.99298,                0.76233,                 0.9332,                0.41806,                0.97103,             0.00040175,             0.00040175,             0.00040175
                     26,                0.88865,                0.44222,                0.95941,                0.98015,                 0.9893,                 0.9924,                0.76675,                0.93212,                0.41566,                0.96935,             0.00034674,             0.00034674,             0.00034674
                     27,                0.87864,                0.42922,                0.95055,                0.97815,                0.98658,                 0.9913,                 0.7683,                0.92597,                0.40106,                 0.9652,             0.00029172,             0.00029172,             0.00029172
                     28,                0.85965,                0.41894,                0.96923,                0.97572,                 0.9923,                0.99191,                0.76886,                 0.9299,                0.40252,                0.96919,             0.00023671,             0.00023671,             0.00023671
                     29,                0.86065,                0.41707,                0.95646,                0.97696,                0.98816,                0.99209,                0.76796,                0.93025,                0.40124,                0.96689,              0.0001817,              0.0001817,              0.0001817
                     30,                0.84597,                0.40954,                  0.954,                0.97724,                0.98385,                0.99191,                0.77075,                0.91872,                 0.4053,                0.96259,             0.00012669,             0.00012669,             0.00012669
